CustomerID,Age,Gender,Number_of_Transactions,Average_Transaction_Value,Last_Purchase_Days_Ago,Product_Category,Total_Spending,Cross_Sell
4a17db2f-695a-4101-bace-5c7156774bbe,56,Male,17,29.404205066149018,200,Home,813.2105516164991,1
09ab7872-7c12-4ef9-9895-1e20eca88ad6,69,Female,15,37.19789742165794,35,Books,76.46066131283105,1
9eb309fa-b7d9-4c43-a2ae-d8439b6d19d3,46,Female,6,138.59600004596396,2,Books,547.1068037407726,1
5a443c5f-08b6-496d-9463-037e13dfe076,32,Male,16,136.480026975337,289,Clothing,1834.0843301145974,1
178a502d-6d52-477f-a74b-039611e4e238,60,Male,17,25.949395078299162,332,Beauty,1390.7074080769673,1
13c36c0d-a919-47d6-87dd-50443054d5b9,25,Female,3,20.203665521756633,342,Electronics,1487.5764970520338,1
3e54ae8c-5856-4ccc-af50-98d7fec15d77,38,Female,10,34.18725390370112,138,Clothing,684.3127978175718,1
82ad894d-0e20-4816-91ce-f3fb37b54968,56,Female,5,157.33980158814958,337,Clothing,1417.4823201162405,1
04b3e6ee-9983-455e-af9f-f7650a8e1163,36,Female,14,125.22376509527129,62,Clothing,1310.250183548379,0
6f4aff3a-1739-4214-8cdb-0b17ac135cb9,40,Female,13,26.86128413392849,299,Clothing,397.8286437802065,0
4cd18bbc-05e7-4bd5-92d8-a2177fa89bfb,28,Female,6,107.85746285710891,197,Beauty,1938.947015989757,1
e7c200ed-3b54-4b7b-8185-ea15244f308b,28,Female,12,148.16528426980125,59,Home,740.349907028093,1
f8b706f8-6ed2-425a-95e4-d0eb4a85ad05,41,Male,8,176.41125102814513,265,Clothing,692.1095989880823,1
3d2a6511-b833-486c-9710-656de293bd38,53,Female,5,188.12656831862188,333,Clothing,769.865011248886,1
bbe4d8fd-4081-4808-b99d-25e79c6bfca8,57,Female,15,78.939301331732,188,Electronics,228.8532498755002,0
29dcd762-362b-44f2-b57d-ed2aa3dab691,41,Male,16,44.449837114387826,63,Books,1268.678858331771,1
a21b7105-8be7-4013-b253-639a66d782ee,20,Female,1,62.64666573166055,308,Beauty,515.3172753054737,0
69571598-cc40-4bf8-b782-690338ba4724,39,Female,16,159.71086856724028,279,Clothing,1616.4598749491527,1
f86948b9-b478-4bcb-9540-adfd82c419a1,19,Male,5,194.8671587076159,30,Home,818.6045512611944,1
880e8800-d0e9-430f-b60e-48cd798f480d,41,Female,3,103.95085112486849,171,Home,944.1890404667714,1
b60f6c54-0c82-4dfa-8314-93167495b1bb,61,Male,15,74.96357843860216,21,Home,1310.52300552534,1
cf5e6841-c1a4-4252-bbee-196faed49212,47,Male,13,97.2543047528062,299,Electronics,1535.6487112097914,0
c1e3ca25-6c1f-4cc2-bbff-a5eda0a3981f,55,Male,16,74.86636603612384,201,Home,500.67484445381785,1
d61a24db-d77b-4692-bd81-72550a99d70c,19,Male,11,66.16775417728778,135,Electronics,1934.273942950385,0
df9e8278-2bf2-40e0-93ae-8f829c866309,38,Female,2,126.87513543329231,272,Beauty,1263.5270146350283,1
8b1d6910-f88f-4f77-863f-790f03975634,50,Male,6,22.832476467237992,23,Home,60.99531582575577,0
9391a1e0-d68f-4a3c-acba-423f8faa8868,29,Male,6,66.71940475969787,87,Books,860.4633093509248,0
aef6a753-c152-4339-9238-b0725a74918d,39,Female,14,139.04877401209802,31,Clothing,901.7947502299708,1
